Team,ELO,Aff_ELO,Neg_ELO,Aff_Rounds,Neg_Rounds
Carrollton School of the Sacred Heart BF,1600,1600,1600,0,0
Carrollton School of the Sacred Heart FJ,1600,1600,1600,0,0
Carrollton School of the Sacred Heart GM,1600,1600,1600,0,0
Carrollton School of the Sacred Heart RG,1600,1600,1600,0,0
Casady FJ,1600,1600,1600,0,0
Casady SS,1600,1600,1600,0,0
Cathryn Gorman Independent CG,1600,1600,1600,0,0
Central HS Springfield SS,1600,1600,1600,0,0
Century WB,1600,1600,1600,0,0
CK McClatchy DG,1600,1600,1600,0,0
CK McClatchy PG,1600,1600,1600,0,0
Claudia Taylor Johnson GR,1600,1600,1600,0,0
Clear Springs SG,1600,1600,1600,0,0
CMIT North KM,1600,1600,1600,0,0
CMIT North MG,1600,1600,1600,0,0
CMIT North/DuVal KM,1600,1600,1600,0,0
College Park AO,1600,1600,1600,0,0
College Prep BA,1600,1600,1600,0,0
College Prep BT,1600,1600,1600,0,0
College Prep GS,1600,1600,1600,0,0
College Prep JG,1600,1600,1600,0,0
College Prep JT,1600,1600,1600,0,0
College Prep NE,1600,1600,1600,0,0
College Prep NS,1600,1600,1600,0,0
Collegiate AS,1600,1600,1600,0,0
Collegiate FK,1600,1600,1600,0,0
Collegiate FP,1600,1600,1600,0,0
Collegiate FT,1600,1600,1600,0,0
Collegiate PX,1600,1600,1600,0,0
Collegiate TL,1600,1600,1600,0,0
Coppell GM,1600,1600,1600,0,0
Coppell JS,1600,1600,1600,0,0
Coppell SP,1600,1600,1600,0,0
Coppell TB,1600,1600,1600,0,0
Coppell TC,1600,1600,1600,0,0
Corner Canyon KD,1600,1600,1600,0,0
Creative Minds/Stuart Hobson MT,1600,1600,1600,0,0
Crossings Christian LM,1600,1600,1600,0,0
Crossings Christian SP,1600,1600,1600,0,0
Crossings Christian TL,1600,1600,1600,0,0
Culver City BL,1600,1600,1600,0,0
Culver City RN,1600,1600,1600,0,0
Dallas Highland Park CB,1600,1600,1600,0,0
Dallas Highland Park GZ,1600,1600,1600,0,0
Damien-St. Lucy's BS,1600,1600,1600,0,0
Damien-St. Lucy's CM,1600,1600,1600,0,0
Damien-St. Lucy's DG,1600,1600,1600,0,0
Damien-St. Lucy's DL,1600,1600,1600,0,0
Damien-St. Lucy's DS,1600,1600,1600,0,0
Damien-St. Lucy's GI,1600,1600,1600,0,0
Damien-St. Lucy's JC,1600,1600,1600,0,0
Damien-St. Lucy's JM,1600,1600,1600,0,0
Damien-St. Lucy's KN,1600,1600,1600,0,0
Damien-St. Lucy's LM,1600,1600,1600,0,0
Damien-St. Lucy's LW,1600,1600,1600,0,0
Damien-St. Lucy's MO,1600,1600,1600,0,0
Damien-St. Lucy's MR,1600,1600,1600,0,0
Damien-St. Lucy's OC,1600,1600,1600,0,0
Damien-St. Lucy's PP,1600,1600,1600,0,0
Damien-St. Lucy's RS,1600,1600,1600,0,0
DC International HW,1600,1600,1600,0,0
DC International RG,1600,1600,1600,0,0
De Soto CS,1600,1600,1600,0,0
De Soto SC,1600,1600,1600,0,0
Denmark BR,1600,1600,1600,0,0
Denmark Independent BL,1600,1600,1600,0,0
