,Team,ELO,Aff_ELO,Neg_ELO,Aff_Rounds,Neg_Rounds
0,ADL CC,1254.743,1615.251,1016.572,3.0,3.0
1,ADL CW,1125.901,1406.198,1304.205,3.0,3.0
2,ADL DC,1354.301,1334.257,1471.483,3.0,3.0
3,ADL KC,1316.97,1165.072,1546.399,3.0,3.0
4,ADL KW,892.252,1257.168,959.505,3.0,3.0
5,ADL KY,1655.238,1582.915,1805.604,3.0,3.0
6,ADL SW,1224.724,1212.35,1229.604,3.0,3.0
7,ADL WC,563.672,981.715,879.066,3.0,3.0
8,ADL WL,1181.975,1434.256,1116.145,3.0,3.0
9,ADL YD,1737.751,1463.173,1808.83,3.0,3.0
10,Albuquerque AE,1538.123,1488.83,1706.091,3.0,3.0
11,Alief Taylor CP,990.661,1304.616,1063.901,3.0,3.0
12,Alief Taylor MV,841.464,1056.756,999.487,3.0,3.0
13,Alpharetta CR,1740.359,1432.119,1953.057,6.0,6.0
14,Alpharetta GM,1926.447,1883.613,1850.505,9.0,9.0
15,Alpharetta KB,2075.337,2314.998,1951.891,3.0,5.0
16,Alpharetta LD,1380.936,1423.699,1063.55,6.0,5.0
17,Alpharetta MM,2023.341,1855.598,2000.069,18.0,19.0
18,Alpharetta NI,2067.59,2287.503,1738.16,16.0,17.0
19,Alta CL,1119.338,1389.05,970.224,3.0,3.0
20,Archbishop Mitty DN,1655.251,1564.307,1673.791,3.0,3.0
21,Archbishop Mitty MR,2037.557,2108.879,1897.336,10.0,10.0
22,Archbishop Mitty SS,1936.038,1840.501,1995.721,3.0,4.0
23,Arizona College Prep AS,1342.415,1222.495,1679.364,3.0,2.0
24,ASPEC KB,2331.288,2405.715,2089.28,5.0,3.0
25,Athens HR,2093.782,1914.36,1984.066,5.0,8.0
26,Athens TS,1426.635,1497.801,1376.257,6.0,6.0
27,Austin Peace KF,531.429,789.677,902.985,3.0,3.0
28,Austin Peace KK,911.192,1140.942,1387.771,3.0,3.0
29,Austin Peace SA,1283.964,1493.703,1420.544,3.0,3.0
30,Austin Peace SS,813.37,1283.602,922.953,3.0,3.0
31,Avery Coonley AT,1121.229,1528.025,1090.481,3.0,3.0
32,Avery Coonley FB,1609.815,1876.132,1349.271,3.0,3.0
33,Avery Coonley FN,1360.255,1571.69,1344.074,3.0,3.0
34,Avery Coonley JS,1445.269,1704.48,1161.512,3.0,3.0
35,Avery Coonley SS,1322.603,1364.778,1438.159,3.0,3.0
36,Avery Coonley TZ,988.949,1235.679,1000.326,3.0,3.0
37,Avery Hybrid FB,1622.997,1650.893,1548.735,3.0,3.0
38,Baltimore City AP,2029.767,2058.461,1967.996,4.0,3.0
39,Baltimore City HM,1564.439,1444.178,1643.355,3.0,3.0
40,Baltimore City HP,1762.433,1772.053,1660.804,6.0,7.0
41,Baltimore City MW,2072.549,2143.457,2048.083,16.0,22.0
42,Baltimore City PM,1906.971,1860.128,1769.06,7.0,6.0
43,Banneker BF,1377.342,1373.733,1243.517,3.0,3.0
44,Banneker BM,1146.605,1353.462,1300.164,3.0,3.0
45,Banneker DT,1606.069,1605.271,1775.22,3.0,3.0
46,Banneker MP,1643.547,1471.04,1755.633,3.0,3.0
47,Banneker MS,1467.191,1584.984,1397.54,3.0,3.0
48,Banneker ST,944.399,1096.571,1055.567,6.0,6.0
49,Banneker TG,1460.916,1757.901,1364.65,3.0,3.0
50,Banneker TY,1919.238,2028.319,1680.907,3.0,3.0
51,Banneker YG,1422.025,1590.831,1384.854,3.0,3.0
52,Barack Obama Male Leadership Academy (HS) VT,1020.25,1111.086,1610.999,3.0,3.0
53,Barstow AR,1185.559,1127.003,1390.805,3.0,3.0
54,Barstow BM,1658.471,1642.435,1538.354,9.0,9.0
55,Barstow GH,1798.847,1974.22,1512.24,6.0,7.0
56,Barstow KP,1453.787,1688.279,1144.584,6.0,5.0
57,Barstow OS,1946.124,1558.837,2264.378,4.0,3.0
58,Barstow SB,1871.158,1867.996,1754.087,3.0,4.0
59,Barstow SH,2154.205,2619.282,1539.408,6.0,7.0
60,Barstow TD,1073.439,958.344,1716.431,3.0,2.0
61,Barstow TM,1259.502,966.871,1572.63,3.0,3.0
62,BASIS DC AP,1851.649,1919.869,1738.338,7.0,7.0
63,BASIS DC AS,2072.365,2113.746,1857.575,5.0,3.0
64,BASIS DC CM,1940.827,1745.209,2158.716,10.0,9.0
65,BASIS DC DS,1777.466,1749.648,1692.714,3.0,3.0
66,BASIS DC PP,1389.628,1437.041,1734.478,3.0,3.0
67,BASIS DC PS,1949.073,2210.935,1605.546,3.0,3.0
68,BASIS DC TD,1376.491,1178.951,1588.909,6.0,6.0
69,BASIS DC TP,1459.551,1489.005,1323.95,3.0,3.0
70,BASIS Peoria JG,1712.323,1596.145,1670.611,7.0,6.0
71,BASIS San Antonio Shavano AT,787.808,968.329,1035.905,3.0,3.0
72,BASIS San Antonio Shavano KP,1881.792,1774.866,1812.446,10.0,10.0
73,BASIS San Antonio Shavano NR,1402.081,1298.701,1352.235,3.0,3.0
74,Bellarmine  AQ,2365.417,2073.454,2510.533,17.0,16.0
75,Bellarmine  CG,1928.632,1837.421,2006.822,6.0,9.0
76,Bellarmine  DD,2522.297,2569.149,2372.417,19.0,15.0
77,Bellarmine  OL,2128.601,1770.015,2195.794,7.0,7.0
78,Bellarmine  RH,1974.157,1898.651,1862.889,7.0,8.0
79,Berkeley Prep GN,961.994,807.678,1306.618,4.0,3.0
80,Berkeley Prep GS,1824.773,1650.392,2101.845,7.0,6.0
81,Berkeley Prep KN,743.897,1071.597,1047.375,4.0,3.0
82,Berkeley Prep LG,1866.647,1774.113,1742.339,4.0,3.0
83,Berkeley Prep LL,1869.045,1686.015,1817.644,13.0,13.0
84,Berkeley Prep LS,1900.867,1613.122,1862.974,6.0,6.0
85,Berkeley Prep NY,2229.983,2195.227,2154.226,20.0,23.0
86,Berkeley Prep RG,2105.616,1832.91,2160.459,10.0,9.0
87,Berkeley Prep RV,2663.787,2647.934,2549.252,27.0,23.0
88,Berkeley Prep RZ,2234.173,2862.373,1695.41,7.0,7.0
89,Berkeley Prep SS,1920.966,1905.619,1831.046,10.0,10.0
90,Berkeley Prep ZL,1600.0,1600.0,1600.0,0.0,0.0
91,Blue Valley EM,1517.377,1269.852,1847.182,3.0,3.0
92,Blue Valley North BK,1803.594,1550.191,2005.604,11.0,9.0
93,Blue Valley North BN,1813.649,1527.475,1972.528,6.0,7.0
94,Blue Valley North CT,1994.813,1931.148,1873.036,19.0,21.0
95,Blue Valley North DH,1470.74,1387.458,1616.317,3.0,3.0
96,Blue Valley North LP,1649.794,1583.657,1599.004,16.0,16.0
97,Blue Valley North MM,1040.201,1058.207,1309.874,9.0,8.0
98,Blue Valley North NH,1426.581,1563.963,1537.414,3.0,3.0
99,Blue Valley North NN,1552.488,1302.385,1747.001,2.0,3.0
100,Blue Valley North PN,1374.233,1473.257,1500.584,3.0,3.0
101,Blue Valley North PS,2286.325,1935.802,2404.023,10.0,12.0
102,Blue Valley Northwest JW,1586.764,1549.071,1748.079,3.0,3.0
103,Blue Valley Southwest DT,1992.325,1843.848,1988.263,12.0,15.0
104,Blue Valley Southwest HK,1475.598,1479.452,1459.561,3.0,3.0
105,Blue Valley Southwest PC,2243.848,2162.863,2171.807,26.0,22.0
106,Blue Valley TF,1815.908,1746.747,1639.399,3.0,3.0
107,Blue Valley TH,2030.237,1884.261,2111.871,8.0,7.0
108,Blue Valley West BG,1891.516,1658.557,2034.799,3.0,4.0
109,Blue Valley West BT,1504.625,1493.586,1602.245,6.0,6.0
110,Blue Valley West BW,2029.119,1950.293,1959.003,4.0,3.0
111,Blue Valley West CR,883.149,1097.391,1247.016,3.0,2.0
112,Blue Valley West JA,1309.477,1137.606,1526.607,3.0,3.0
113,Blue Valley West MC,1455.122,1716.349,1474.401,6.0,6.0
114,Blue Valley West MJ,1802.391,2151.632,1102.634,3.0,3.0
115,Blue Valley West SV,2218.738,2176.865,2041.204,15.0,10.0
116,Blue Valley West VS,2205.706,2026.682,2216.908,8.0,8.0
117,Blue Valley West WA,1660.323,1559.777,1604.084,7.0,6.0
118,Blue Valley West WJ,2033.481,1914.636,1955.358,4.0,4.0
119,Boston Latin AL,1279.68,1478.787,1245.989,3.0,3.0
120,Boston Latin LL,1544.385,1339.69,1759.287,3.0,3.0
121,Boston Latin LP,1758.863,1436.474,1741.095,3.0,3.0
122,Branson PW,1882.859,1846.15,1641.224,6.0,6.0
123,Bravo BB,934.431,1102.252,1174.119,3.0,3.0
124,Bravo RF,1419.579,1428.299,1490.915,3.0,3.0
125,Bronx Science AX,1049.669,1239.536,1207.661,2.0,3.0
126,Bronx Science BD,893.34,1235.686,1008.8,3.0,3.0
127,Bronx Science BG,1340.976,1181.646,1294.902,6.0,6.0
128,Bronx Science CF,1969.399,2012.715,1880.646,12.0,12.0
129,Bronx Science CG,1993.205,1974.224,1873.365,9.0,14.0
130,Bronx Science EK,2123.469,2094.969,1932.34,7.0,8.0
131,Bronx Science HP,1309.86,1593.889,1005.931,6.0,6.0
132,Bronx Science ML,1628.148,1656.296,1582.497,3.0,3.0
133,Bronx Science NN,1250.639,1287.922,977.661,3.0,2.0
134,Bronx Science OA,1487.832,1331.843,1662.288,3.0,3.0
135,Bronx Science SC,1163.664,1252.451,1357.691,3.0,3.0
136,Brooklyn Technical CS,1669.704,1072.526,2038.974,3.0,3.0
137,Brooklyn Technical GA,1489.643,1383.544,1660.438,3.0,3.0
138,Brooklyn Technical GH,1703.015,1498.197,1928.11,3.0,3.0
139,Brooklyn Technical HS Independent CR,1957.251,1480.068,2303.911,3.0,3.0
140,Brooklyn Technical HS Independent GS,1849.078,1998.336,1592.041,2.0,2.0
141,Brooklyn Technical JL,2196.267,1871.528,2293.151,10.0,17.0
142,Brooklyn Technical MC,1459.157,1338.095,1705.165,3.0,3.0
143,Brooklyn Technical OS,1385.651,1548.478,1259.427,3.0,3.0
144,Brooklyn Technical RC,1877.955,1778.047,1958.262,6.0,7.0
145,Brooklyn Technical SG,1864.405,2029.34,1736.603,6.0,8.0
146,Brooklyn Technical SH,1597.661,1489.875,1916.257,3.0,3.0
147,Brophy PP,2130.29,1930.425,2183.386,17.0,13.0
148,Brophy SH,1610.969,1580.824,1532.174,16.0,15.0
149,Buhler BL,1212.507,1202.452,1321.05,3.0,3.0
150,Caddo Magnet AP,1297.072,1390.549,1331.19,3.0,3.0
151,Caddo Magnet MP,1274.806,1263.067,1535.512,6.0,6.0
152,Caddo Magnet VA,1668.121,1722.811,1498.985,16.0,15.0
153,Caddo Magnet WB,1600.187,1248.218,1781.235,4.0,6.0
154,California Academy of Mathematics and Science GL,1408.33,1334.698,1482.78,3.0,3.0
155,Calvert Hall AJ,1402.862,1460.585,1407.888,6.0,6.0
156,Calvert Hall BM,1354.665,1174.053,1841.944,3.0,3.0
157,Calvert Hall CH,1280.112,1346.796,1257.02,8.0,7.0
158,Calvert Hall HT,1486.506,1716.015,1158.476,3.0,3.0
159,Calvert Hall JS,1984.24,1934.12,1835.632,4.0,3.0
160,Calvert Hall ST,1484.888,1847.927,1137.249,3.0,3.0
161,Calvert Hall SW,2004.688,2063.061,1853.825,14.0,9.0
162,Canyon Crest CL,2046.758,2016.615,2036.388,15.0,15.0
163,Canyon Crest CS,1338.434,1248.72,1420.157,10.0,8.0
164,Canyon Crest DN,860.939,1216.768,1102.876,3.0,3.0
165,Canyon Crest KR,693.826,1105.702,987.732,2.0,3.0
166,Canyon Crest LP,864.293,1178.628,1037.979,3.0,3.0
167,Canyon Crest LY,1374.81,1441.113,1497.376,3.0,3.0
168,Canyon Crest ZZ,1243.537,919.183,1544.125,9.0,8.0
169,Carrollton School of the Sacred Heart BF,1690.777,1529.505,1595.653,3.0,4.0
170,Carrollton School of the Sacred Heart FJ,1603.257,1570.486,1498.688,12.0,13.0
171,Carrollton School of the Sacred Heart GM,1719.97,1789.833,1329.694,10.0,9.0
172,Carrollton School of the Sacred Heart RG,1825.65,1798.847,1681.379,10.0,9.0
173,Casady FJ,1494.477,1550.146,1429.776,8.0,9.0
174,Casady SS,1173.862,1183.172,1120.715,6.0,6.0
175,Cathryn Gorman Independent CG,1286.764,1511.436,891.174,3.0,2.0
176,Central HS Springfield SS,2173.673,2169.538,1980.284,3.0,5.0
177,Century WB,1067.685,1387.024,1177.63,3.0,3.0
178,CK McClatchy DG,1303.161,1278.612,1544.8,3.0,3.0
179,CK McClatchy PG,1380.197,1165.203,1252.958,3.0,3.0
180,Claudia Taylor Johnson GR,1223.079,1411.075,1121.337,3.0,3.0
181,Clear Springs SG,1987.502,2031.839,1843.271,10.0,12.0
182,CMIT North KM,794.079,827.615,1126.033,3.0,2.0
183,CMIT North MG,608.327,963.523,812.892,5.0,6.0
184,CMIT North/DuVal KM,1287.199,1106.298,1601.927,3.0,3.0
185,College Park AO,1625.391,1591.631,1711.541,3.0,3.0
186,College Prep BA,2283.004,2157.946,2237.662,22.0,17.0
187,College Prep BT,1216.265,1184.737,1178.25,6.0,6.0
188,College Prep GS,1070.249,1351.573,865.281,3.0,3.0
189,College Prep JG,2194.836,2293.918,1989.953,16.0,14.0
190,College Prep JT,1744.933,1676.938,1710.184,9.0,10.0
191,College Prep NE,1262.29,1399.225,1374.553,2.0,3.0
192,College Prep NS,1714.021,1915.169,1599.495,3.0,3.0
193,Collegiate AS,1742.704,1586.615,1869.128,3.0,3.0
194,Collegiate FK,1626.896,2085.409,1413.874,6.0,6.0
195,Collegiate FP,1658.803,1730.513,1634.333,3.0,3.0
196,Collegiate FT,1294.161,1783.196,990.873,3.0,3.0
197,Collegiate PX,1350.992,1461.732,1258.899,3.0,3.0
198,Collegiate TL,1705.971,1509.542,1722.622,3.0,3.0
199,Coppell GM,1346.015,1395.136,1592.909,3.0,3.0
200,Coppell JS,2313.497,2207.24,2239.807,16.0,24.0
201,Coppell SP,819.095,1082.636,1240.665,3.0,3.0
202,Coppell TB,2206.894,2061.484,2083.584,11.0,12.0
203,Coppell TC,1726.632,1205.456,1916.691,3.0,3.0
204,Corner Canyon KD,1364.289,1239.97,1773.456,3.0,3.0
205,Creative Minds/Stuart Hobson MT,1086.208,1307.348,1117.928,3.0,3.0
206,Crossings Christian LM,1978.932,1836.583,1934.958,4.0,3.0
207,Crossings Christian SP,1303.656,1246.862,1444.794,8.0,9.0
208,Crossings Christian TL,1522.464,1566.294,1480.341,3.0,3.0
209,Culver City BL,1360.706,1406.069,1212.716,2.0,2.0
210,Culver City RN,1447.934,1540.09,1366.463,3.0,3.0
211,Dallas Highland Park CB,2104.47,2083.812,2027.564,12.0,15.0
212,Dallas Highland Park GZ,1858.328,1299.746,2223.825,3.0,3.0
213,Damien-St. Lucy's BS,1125.339,1286.135,1446.427,2.0,3.0
214,Damien-St. Lucy's CM,1437.899,1274.188,1534.795,13.0,11.0
215,Damien-St. Lucy's DG,1208.324,1080.348,1362.475,3.0,3.0
216,Damien-St. Lucy's DL,1495.109,1413.332,1486.617,6.0,6.0
217,Damien-St. Lucy's DS,1481.941,1479.361,1588.747,3.0,3.0
218,Damien-St. Lucy's GI,1420.999,1148.429,1563.664,15.0,16.0
219,Damien-St. Lucy's JC,1545.686,1613.184,1398.924,6.0,6.0
220,Damien-St. Lucy's JM,1111.744,1151.093,1493.127,3.0,2.0
221,Damien-St. Lucy's KN,1893.022,1869.076,1854.923,25.0,27.0
222,Damien-St. Lucy's LM,1998.639,1762.65,2103.557,3.0,3.0
223,Damien-St. Lucy's LW,2194.891,1857.965,2190.712,3.0,5.0
224,Damien-St. Lucy's MO,1304.454,1033.249,1331.272,5.0,6.0
225,Damien-St. Lucy's MR,1159.664,1476.881,1178.113,3.0,3.0
226,Damien-St. Lucy's OC,1268.648,1373.675,1037.992,3.0,3.0
227,Damien-St. Lucy's PP,2238.008,2120.486,2238.604,20.0,21.0
228,Damien-St. Lucy's RS,704.195,1069.674,932.603,3.0,3.0
229,DC International HW,1425.693,1658.87,1246.573,3.0,3.0
230,DC International RG,520.551,806.781,833.35,3.0,3.0
231,De Soto CS,1606.643,2012.324,1326.573,3.0,3.0
232,De Soto SC,1215.501,1160.211,1430.167,3.0,3.0
233,Denmark BR,2056.04,2005.41,1970.836,7.0,6.0
234,Denmark Independent BL,2298.042,2065.156,2420.312,4.0,3.0
235,Denmark Independent BT,2632.764,2040.088,2781.018,3.0,7.0
236,Dowling Catholic BS,781.503,852.866,1344.295,3.0,2.0
237,Downtown Magnets LG,1748.006,1636.944,1665.05,3.0,3.0
238,Dripping Springs BC,1463.167,1590.986,1417.01,3.0,3.0
239,Dripping Springs CK,1562.602,1188.576,2073.388,3.0,3.0
240,Dripping Springs KT,1662.717,1916.257,1306.792,3.0,3.0
241,Duke Ellington SA,862.216,1192.175,987.09,2.0,3.0
242,Duke Ellington SO,1498.229,1294.802,1658.763,9.0,9.0
243,Duke Ellington SS,789.36,951.472,1235.764,3.0,3.0
244,Duke Ellington TA,1133.92,1227.017,1511.579,3.0,3.0
245,Duke Ellington TG,1437.572,1711.024,1085.077,3.0,3.0
246,Dulles IC,1912.735,1693.143,1921.92,12.0,13.0
247,Dulles MN,963.74,1273.934,1059.233,3.0,3.0
248,Eagan HR,1496.846,1589.718,1371.066,6.0,7.0
249,Eagan MS,1448.414,1393.609,1604.096,10.0,9.0
250,Eagan NM,1230.675,1294.482,1396.182,3.0,3.0
251,Eagan SW,1794.606,1477.419,1857.271,7.0,6.0
252,Eagan TN,1904.939,1812.371,1893.773,9.0,10.0
253,Eagan WS,1417.842,1326.751,1351.552,3.0,2.0
254,Eagan WW,1693.83,1649.588,1641.728,13.0,12.0
255,Eastside HS,685.498,823.597,869.217,6.0,5.0
256,Edina AC,1935.783,1910.964,1903.149,17.0,17.0
257,Edina AW,874.49,1016.014,1318.944,3.0,3.0
258,Edina BK,1961.611,2007.845,1798.429,1.0,3.0
259,Edina BL,1295.474,1307.73,1257.265,8.0,7.0
260,Edina BT,1590.258,1663.869,1355.801,4.0,3.0
261,Edina LA,1622.86,1691.685,1399.684,3.0,4.0
262,Edina SK,1800.333,1646.662,1858.994,3.0,3.0
263,Edina TS,1715.936,1801.422,1588.339,6.0,7.0
264,Edison Prep BB,1955.803,1794.094,1964.97,7.0,7.0
265,Edmond Memorial HL,1043.853,1065.277,1311.115,3.0,3.0
266,Eleanor Roosevelt AA,1423.267,1513.866,1500.064,9.0,10.0
267,Eleanor Roosevelt NM,1145.87,983.689,1562.306,3.0,3.0
268,Eliot Hine TT,1060.223,1154.211,1073.076,3.0,3.0
269,Elizabeth Learning Center BR,1242.223,1723.454,1153.888,1.0,1.0
270,Elizabeth Learning Center CV,871.099,1093.181,1042.449,2.0,3.0
271,Elizabeth Learning Center ES,1112.777,1320.437,1289.921,2.0,3.0
272,Elizabeth Learning Center TM,1502.993,1756.156,1158.65,3.0,3.0
273,Elkins PS,1183.395,1166.219,1397.889,3.0,3.0
274,Emerald HM,821.624,1405.271,987.82,3.0,3.0
275,Emery KW,1056.414,865.524,1692.072,3.0,2.0
276,Emery MT,1509.293,1554.647,1468.701,3.0,2.0
277,Farmington AS,1367.812,1367.211,1325.539,3.0,4.0
278,Farmington CN,1663.897,1636.82,1583.239,10.0,8.0
279,Farmington KN,1786.722,1662.832,1972.023,6.0,6.0
280,Farmington NS,1370.906,1511.841,1131.335,3.0,3.0
281,Fenway MH,1749.439,1774.761,1696.688,6.0,7.0
282,Forest Park AF,844.559,1284.135,807.899,6.0,6.0
283,Fort Collins CI,844.379,905.213,1259.4,3.0,3.0
284,Fort Collins EF,1469.165,1683.332,1228.898,6.0,6.0
285,Fort Collins FY,1613.138,1460.42,1845.799,3.0,3.0
286,Fox Chapel Independent RL,1483.909,1328.897,1276.495,3.0,3.0
287,Franklin SP,1966.31,1709.587,2111.048,9.0,11.0
288,Friendswood AK,1556.457,1115.865,1852.108,3.0,3.0
289,Friendswood PH,801.251,1157.06,1087.003,3.0,3.0
290,Galloway DP,1709.807,1828.339,1493.512,6.0,7.0
291,Garfield TZ,1512.737,1598.182,1409.827,4.0,3.0
292,Garfield WN,1381.614,1612.152,1039.807,4.0,3.0
293,George Washington JZ,1291.406,1355.415,1289.692,5.0,6.0
294,George Washington MB,1764.701,1674.577,1852.119,6.0,7.0
295,George Washington MR,1961.758,2131.926,1645.67,14.0,14.0
296,George Washington PA,1647.133,1553.352,1764.603,9.0,9.0
297,George Washington VS,1372.928,1302.195,1554.932,9.0,9.0
298,Georgetown Day DX,2088.499,2110.868,1916.545,14.0,11.0
299,Georgetown Day GG,1484.553,1460.027,1524.186,3.0,3.0
300,Georgetown Day GK,1536.043,1698.942,1412.743,6.0,6.0
301,Georgetown Day GT,1595.303,1516.198,1605.496,3.0,3.0
302,Georgetown Day GX,1861.505,1782.352,1557.299,3.0,4.0
303,Georgetown Day HG,1277.561,1621.281,1077.092,3.0,3.0
304,Georgetown Day HL,1854.108,1741.834,1827.949,3.0,3.0
305,Georgetown Day KN,1596.025,1573.29,1599.345,12.0,13.0
306,Georgetown Day MT,2149.924,1922.346,2305.054,7.0,7.0
307,Georgetown Day MW,1614.051,1613.69,1727.436,3.0,4.0
308,Georgetown Day MX,1974.294,2053.15,1888.129,7.0,8.0
309,Georgetown Day WR,2002.495,1780.683,2056.072,14.0,16.0
310,Ghidotti Early CL,1254.076,1266.94,1334.111,3.0,3.0
311,Glenbrook North CiRi,1883.823,1666.614,2018.375,9.0,8.0
312,Glenbrook North CL,1887.346,1715.799,1855.395,15.0,17.0
313,Glenbrook North CR,2345.33,2303.479,2202.98,28.0,33.0
314,Glenbrook North DE,1170.329,990.424,1360.034,3.0,4.0
315,Glenbrook North DeKo,1445.616,1437.135,1503.745,3.0,3.0
316,Glenbrook North DK,1507.607,1345.88,1477.03,11.0,12.0
317,Glenbrook North DP,1001.175,1302.493,894.91,4.0,6.0
318,Glenbrook North FP,1946.414,1763.612,1848.161,19.0,20.0
319,Glenbrook North HW,1608.14,1218.877,1822.148,3.0,3.0
320,Glenbrook North JW,1522.363,1418.71,1596.676,3.0,3.0
321,Glenbrook North KS,2092.33,1893.114,2029.268,4.0,3.0
