,Team,ELO,Aff_ELO,Neg_ELO,Aff_Rounds,Neg_Rounds
614,Northwood ZY,2028.717,2095.252,1809.058,6.0,6.0
615,Notre Dame AM,2317.099,2180.678,2376.887,18.0,16.0
616,Notre Dame AV,2037.438,1873.307,1936.5,3.0,4.0
617,Notre Dame BC,1949.921,1945.611,1769.476,15.0,13.0
618,Notre Dame BD,1958.082,2087.052,1727.403,7.0,7.0
619,Notre Dame CP,1950.449,1811.272,1800.231,6.0,7.0
620,Notre Dame DM,1738.331,1768.413,1597.817,3.0,3.0
621,Notre Dame DP,1774.277,1757.586,1672.175,17.0,16.0
622,Notre Dame DuPi,1815.776,1738.508,1884.499,3.0,3.0
623,Notre Dame GM,1661.324,1557.782,1607.527,6.0,6.0
624,Notre Dame ND,1959.69,1912.233,1884.159,7.0,6.0
625,Notre Dame NP,2026.677,1868.465,2020.027,6.0,8.0
626,Notre Dame NY,1596.044,1512.915,1698.075,3.0,3.0
627,NSU AC,1082.38,1179.075,1050.464,5.0,6.0
628,NSU AY,1522.696,1539.918,1379.2,14.0,16.0
629,NSU BL,1573.835,1434.434,1401.907,12.0,12.0
630,Oak Ridge AH,2120.529,2035.943,2078.465,3.0,5.0
631,OES LR,1745.718,1548.047,1672.282,6.0,6.0
632,Okemos DT,1615.442,1737.708,1424.656,9.0,9.0
633,Olathe East DG,1578.771,1402.316,1696.996,9.0,9.0
634,Olathe East SR,1171.165,1573.355,1040.942,2.0,3.0
635,Olathe North CF,2153.376,2209.773,1999.558,6.0,7.0
636,Olathe North FC,2225.157,2230.323,1914.948,5.0,3.0
637,Olathe North MM,1959.126,1768.994,1972.089,10.0,10.0
638,Olathe West OF,982.523,1288.884,1150.743,3.0,2.0
639,Opus CC,1913.796,1812.269,1798.434,9.0,12.0
640,Pace EK,1920.394,1873.59,1785.105,3.0,3.0
641,Pace EW,1881.704,2058.346,1692.162,12.0,14.0
642,Pace GK,1924.665,1925.525,1600.255,14.0,12.0
643,Pace GM,2100.401,2098.759,1898.329,28.0,23.0
644,Pace NS,1634.963,1549.445,1595.139,6.0,7.0
645,Park City LC,1079.025,1588.219,895.077,3.0,3.0
646,Park City LS,670.191,982.696,1014.293,3.0,3.0
647,Park Hill South SV,1131.722,1346.147,1265.428,3.0,2.0
648,Park Tudor WX,1338.059,982.668,1602.962,3.0,4.0
649,Parkrose GH,1821.032,1710.495,1721.999,6.0,6.0
650,Pembroke Hill BC,1388.344,1156.007,1664.092,3.0,3.0
651,Pembroke Hill JT,1094.454,1144.679,1274.673,3.0,3.0
652,Pembroke Hill WA,1714.199,1765.687,1565.798,3.0,4.0
653,Pembroke Hill ZM,1861.651,1854.126,1617.245,3.0,4.0
654,Peninsula BB,1841.881,1844.424,1760.649,19.0,21.0
655,Peninsula BY,1696.352,1464.773,1912.723,4.0,3.0
656,Peninsula CK,1193.239,1410.303,1387.028,3.0,3.0
657,Peninsula DK,2264.896,2019.218,2529.324,6.0,3.0
658,Peninsula DU,2206.899,1912.039,2205.439,3.0,4.0
659,Peninsula DY,2007.772,1879.514,2022.847,26.0,25.0
660,Peninsula EW,1577.009,1132.654,1848.678,16.0,16.0
